"sensor_nodes_id","site_name","source_name","city"
6792,"תחנה:ניידת7","Israel","ירושלים"
6767,"תחנה:לוט","Israel","שרון"
6822,"תחנה:ניידת7","Israel","צפון"
6065,"תחנה:פזורה","Israel","תחנות ניידות"
5022,"תחנה:לוט","Israel","צפון"
6863,"תחנה:שיכון ל","Israel","שרון"
5097,"תחנה:אריאל","Israel","גוש דן"
11077,"תחנה:ניידת נתניה","Israel","צפון"
6817,"תחנה:ניידת7","Israel","שרון"
6595,"תחנה:לוט","Israel","שרון"
6841,"תחנה:ניידת7","Israel","תחנות ניידות"
6842,"תחנה:לוט","Israel","צפון"
5669,"תחנה:ק.בנימין","Israel","צפון"
11086,"תחנה:שיכון ל","Israel","מישור החוף הדרומי"
4953,"תחנה:לוט","Israel","שרון"
6525,"תחנה:ק.מלאכי","Israel","שרון"
6836,"תחנה:לוט","Israel","צפון הנגב"
11190,"תחנה:ניידת2","Israel","גוש דן"
11544,"תחנה:הדר","Israel","צפון הנגב"
6578,"תחנה:לוט","Israel","מישור החוף הדרומי"
6407,"תחנה:מודיעין חח""י","Israel","צפון"
11378,"תחנה:שיכון ל","Israel","מישור החוף הדרומי"
5500,"תחנה:שגב שלום","Israel","גוש דן"
11137,"תחנה:פזורה","Israel","ירושלים"
11353,"תחנה:חדרה","Israel","גוש דן"
11549,"תחנה:ק.מוצקין בגין","Israel","תחנות ניידות"
11299,"תחנה:הדר","Israel","חיפה וקריות"
6088,"תחנה:לוזית","Israel","שרון"
11012,"תחנה:רוממה","Israel","גוש דן"
11226,"תחנה:ניר גלים 1","Israel","צפון"
11517,"תחנה:חבל יבנה","Israel","שרון"
11557,"תחנה:אשקלון דרום","Israel","מישור החוף הדרומי"
11439,"תחנה:פזורה","Israel","מישור החוף הדרומי"
5018,"תחנה:שיכון ל","Israel","מישור החוף הדרומי"
6293,"תחנה:ק.טבעון","Israel","גוש דן"
6528,"תחנה:נאות הכיכר","Israel","גוש דן"
6445,"תחנה:שיכון ל","Israel","צפון הנגב"
6726,"תחנה:מודיעין חח""י","Israel","שרון"
6049,"תחנה:ניר גלים 1","Israel","גוש דן"
11441,"תחנה:קריית גת","Israel","ירושלים"
8589,"Hutto C6602","AirNow","Austin-Round Rock"
2254,"Indpls-E.16th St","AirNow","Indianapolis"
11340,"תחנה:יד אבנר","Israel","מישור החוף הדרומי"
11491,"תחנה:לוזית","Israel","מישור החוף הדרומי"
11545,"תחנה:אחיסמך","Israel","שרון"
6810,"תחנה:ניר גלים 1","Israel","ירושלים"
11065,"תחנה:אשדוד","Israel","חיפה וקריות"
11152,"תחנה:ניידת קטנה","Israel","מישור החוף הדרומי"
6743,"תחנה:אשדוד","Israel","שרון"
11443,"תחנה:פארק הכרמל","Israel","מישור החוף הדרומי"
11099,"תחנה:יד בנימין","Israel","מישור החוף הדרומי"
11288,"תחנה:מבקיעים","Israel","מישור החוף הדרומי"
11200,"תחנה:אחוזה","Israel","חיפה וקריות"
11189,"תחנה:שפיה","Israel","מישור החוף הדרומי"
11367,"תחנה:בת הדר","Israel","גוש דן"
11364,"תחנה:גן שמואל","Israel","גוש דן"
11365,"תחנה:חוגים","Israel","שרון"
11548,"תחנה:אחיסמך","Israel","ירושלים"
4999,"תחנה:ניידת6","Israel","שרון"
5048,"תחנה:ניר גלים 1","Israel","צפון"
164,"Houston North Loop C1052","Texas","Houston"
6733,"תחנה:ק.מלאכי","Israel","מישור החוף הדרומי"
11382,"תחנה:שפיה","Israel","מישור החוף הדרומי"
11326,"תחנה:מחנה נתן","Israel","גוש דן"
11409,"תחנה:ברקאי","Israel","שרון"
11302,"תחנה:ספרא","Israel","חיפה וקריות"
11211,"תחנה:חדרה","Israel","מישור החוף הדרומי"
11045,"תחנה:שפיה","Israel","מישור החוף הדרומי"
6780,"תחנה:ניר גלים 2","Israel","שרון"
11177,"תחנה:דליה","Israel","שרון"
11561,"תחנה:מודיעין חח""י","Israel","חיפה וקריות"
11510,"תחנה:ניידת חיפה","Israel","גוש דן"
11339,"תחנה:כרמליה","Israel","חיפה וקריות"
6766,"תחנה:ק.טבעון","Israel","תחנות ניידות"
6501,"תחנה:אשלים","Israel","ירושלים"
11414,"תחנה:רובע ו","Israel","שרון"
11515,"תחנה:ניר גלים 2","Israel","צפון"
6095,"תחנה:דליה","Israel","מישור החוף הדרומי"
